duration_hours,request_type,weekday,tod_bin
10.917777777777777,Boxed or Bagged Items,Sat,Evening (18–23)
11.482222222222223,Other Loose Garbage,Sat,Evening (18–23)
36.95,Human or Animal Waste,Sat,Evening (18–23)
2.783333333333333,Human or Animal Waste,Sat,Evening (18–23)
2.8666666666666667,Human or Animal Waste,Sat,Evening (18–23)
38.78333333333333,City_garbage_can_overflowing,Sat,Afternoon (12–17)
15.565277777777778,Furniture,Sat,Afternoon (12–17)
4.833333333333333,Other Loose Garbage,Sat,Afternoon (12–17)
0.22611111111111112,Boxed or Bagged Items,Sat,Morning (6–11)
50.166666666666664,Human or Animal Waste,Sat,Morning (6–11)
160.2,Human or Animal Waste,Sat,Night (0–5)
160.38333333333333,Human or Animal Waste,Sat,Night (0–5)
12.230555555555556,Furniture,Fri,Evening (18–23)
1.3833333333333333,Other Loose Garbage,Fri,Evening (18–23)
3.3666666666666667,Human or Animal Waste,Fri,Evening (18–23)
3.566666666666667,Human or Animal Waste,Fri,Afternoon (12–17)
3.9166666666666665,Human or Animal Waste,Fri,Afternoon (12–17)
292.4013888888889,Other,Fri,Afternoon (12–17)
4.535555555555556,Other Loose Garbage,Fri,Afternoon (12–17)
3.3333333333333335,Other Loose Garbage,Fri,Afternoon (12–17)
2.3,Other Loose Garbage,Fri,Afternoon (12–17)
9.083333333333334,Furniture,Fri,Afternoon (12–17)
83.65472222222222,Other Loose Garbage,Fri,Afternoon (12–17)
4.216666666666667,Human or Animal Waste,Fri,Afternoon (12–17)
2.6883333333333335,Mattress,Fri,Morning (6–11)
4.366666666666666,Mattress,Fri,Morning (6–11)
4.869166666666667,Furniture,Fri,Morning (6–11)
4.876944444444445,Mattress,Fri,Morning (6–11)
1.4833333333333334,Other Loose Garbage,Fri,Morning (6–11)
20.139444444444443,City_garbage_can_overflowing,Fri,Morning (6–11)
5.3036111111111115,City_garbage_can_overflowing,Fri,Morning (6–11)
0.6716666666666666,Other Loose Garbage,Fri,Morning (6–11)
0.6666666666666666,Other Loose Garbage,Fri,Morning (6–11)
5.473055555555556,Furniture,Fri,Morning (6–11)
176.35611111111112,Human or Animal Waste,Fri,Morning (6–11)
7.352777777777778,Furniture,Fri,Morning (6–11)
63.4,Other Loose Garbage,Thu,Afternoon (12–17)
