"CaseID","Opened","Closed","Updated","Status","Status Notes","Responsible Agency","Category","Request Type","Request Details","Address","Street","Supervisor District","Neighborhood","Police District","Latitude","Longitude","Point","Source","Media URL"
"11064745","06/29/2019 09:48:00 PM","06/30/2019 08:43:04 AM","06/30/2019 08:43:04 AM","Closed","Case Resolved - Pickup completed.","Recology_Abandoned","Street and Sidewalk Cleaning","Bulky Items","Boxed or Bagged Items","101 BARTOL ST, SAN FRANCISCO, CA, 94133","BARTOL ST","3","North Beach","CENTRAL","37.79829025269","-122.4035949707","POINT (-122.40359497 37.79829025)","Phone",
"11064680","06/29/2019 09:14:00 PM","06/30/2019 08:42:56 AM","06/30/2019 08:42:56 AM","Closed","Case Resolved - Pickup completed.","Recology_Abandoned","Street and Sidewalk Cleaning","General Cleaning","Other Loose Garbage","551 FILBERT ST, SAN FRANCISCO, CA, 94133","FILBERT ST","3","North Beach","CENTRAL","37.80136771038","-122.40852107305","POINT (-122.40852107 37.80136771)","Mobile/Open311","http://mobile311.sfgov.org/reports/11064680/photos"
"11064629","06/29/2019 08:51:00 PM","07/01/2019 09:48:00 AM","07/01/2019 09:48:00 AM","Closed","Case Resolved","DPW Ops Queue","Street and Sidewalk Cleaning","Human or Animal Waste","Human or Animal Waste","650 COLUMBUS AVE, SAN FRANCISCO, CA, 94133","COLUMBUS AVE","3","North Beach","CENTRAL","37.8006971915","-122.41061308345","POINT (-122.41061308 37.80069719)","Mobile/Open311",
"11064172","06/29/2019 06:15:00 PM","06/29/2019 09:02:00 PM","06/29/2019 09:02:00 PM","Closed","Case Resolved","DPW Ops Queue","Street and Sidewalk Cleaning","Human or Animal Waste","Human or Animal Waste","74 FRESNO ST, SAN FRANCISCO, CA, 94133","FRESNO ST","3","North Beach","CENTRAL","37.798611","-122.406768","POINT (-122.406768 37.798611)","Web","http://mobile311.sfgov.org/reports/11064172/photos"
"11064162","06/29/2019 06:12:00 PM","06/29/2019 09:04:00 PM","06/29/2019 09:04:00 PM","Closed","Case Resolved","DPW Ops Queue","Street and Sidewalk Cleaning","Human or Animal Waste","Human or Animal Waste","74 FRESNO ST, SAN FRANCISCO, CA, 94133","FRESNO ST","3","North Beach","CENTRAL","37.798611","-122.406768","POINT (-122.406768 37.798611)","Web","http://mobile311.sfgov.org/reports/11064162/photos"
"11063937","06/29/2019 05:12:00 PM","07/01/2019 07:59:00 AM","07/01/2019 07:59:00 AM","Closed","Case Resolved","DPW Ops Queue","Street and Sidewalk Cleaning","City_garbage_can_overflowing","City_garbage_can_overflowing","470 COLUMBUS AVE, SAN FRANCISCO, CA, 94133","COLUMBUS AVE","3","North Beach","CENTRAL","37.79942991395","-122.40862483229","POINT (-122.40862483 37.79942991)","Mobile/Open311","http://mobile311.sfgov.org/reports/11063937/photos"
"11063924","06/29/2019 05:09:00 PM","06/30/2019 08:42:55 AM","06/30/2019 08:42:55 AM","Closed","Case Resolved - Pickup completed.","Recology_Abandoned","Street and Sidewalk Cleaning","Bulky Items","Furniture","488 FRANCISCO ST, SAN FRANCISCO, CA, 94133","FRANCISCO ST","3","North Beach","CENTRAL","37.8048324585","-122.41313171387","POINT (-122.41313171 37.80483246)","Phone",
"11063284","06/29/2019 02:28:00 PM","06/29/2019 07:18:00 PM","06/29/2019 07:18:00 PM","Closed","Case Resolved","DPW Ops Queue","Street and Sidewalk Cleaning","General Cleaning","Other Loose Garbage","698 COLUMBUS AVE, SAN FRANCISCO, CA, 94133","COLUMBUS AVE","3","North Beach","CENTRAL","37.80116731882","-122.41123725487","POINT (-122.41123725 37.80116732)","Mobile/Open311","http://mobile311.sfgov.org/reports/11063284/photos"
"11062303","06/29/2019 10:58:00 AM","06/29/2019 11:11:34 AM","06/29/2019 11:11:34 AM","Closed","Case Resolved - Pickup completed.","Recology_Abandoned","Street and Sidewalk Cleaning","Bulky Items","Boxed or Bagged Items","Intersection of GRANT AVE and LOMBARD ST","GRANT AVE","3","North Beach","CENTRAL","37.8034324646","-122.40814971924","POINT (-122.40814972 37.80343246)","Phone",
"11061430","06/29/2019 06:07:00 AM","07/01/2019 08:17:00 AM","07/01/2019 08:17:00 AM","Closed","Case Resolved","DPW Ops Queue","Street and Sidewalk Cleaning","Human or Animal Waste","Human or Animal Waste","474 COLUMBUS AVE, SAN FRANCISCO, CA, 94133","COLUMBUS AVE","3","North Beach","CENTRAL","37.7993888855","-122.40864562988","POINT (-122.40864563 37.79938889)","Phone",
"11061287","06/29/2019 12:21:00 AM","07/05/2019 04:33:00 PM","07/05/2019 04:33:00 PM","Closed","Case Resolved","DPW Ops Queue","Street and Sidewalk Cleaning","Human or Animal Waste","Human or Animal Waste","74 FRESNO ST, SAN FRANCISCO, CA, 94133","FRESNO ST","3","North Beach","CENTRAL","37.798611","-122.406768","POINT (-122.406768 37.798611)","Web","http://mobile311.sfgov.org/reports/11061287/photos"
"11061280","06/29/2019 12:12:00 AM","07/05/2019 04:35:00 PM","07/05/2019 04:35:00 PM","Closed","Case Resolved","DPW Ops Queue","Street and Sidewalk Cleaning","Human or Animal Waste","Human or Animal Waste","74 FRESNO ST, SAN FRANCISCO, CA, 94133","FRESNO ST","3","North Beach","CENTRAL","37.798611","-122.406768","POINT (-122.406768 37.798611)","Web","http://mobile311.sfgov.org/reports/11061280/photos"
"11060815","06/28/2019 08:01:25 PM","06/29/2019 08:15:15 AM","06/29/2019 08:15:15 AM","Closed","Case Resolved - Pickup completed.","Recology_Abandoned","Street and Sidewalk Cleaning","Bulky Items","Furniture","2200 POWELL ST, SAN FRANCISCO, CA, 94133","POWELL ST","3","North Beach","CENTRAL","37.80498064592","-122.41154668864","POINT (-122.41154669 37.80498065)","Mobile/Open311","http://mobile311.sfgov.org/reports/11060815/photos"
"11060768","06/28/2019 07:41:00 PM","06/28/2019 09:04:00 PM","06/28/2019 09:04:00 PM","Closed","Case Resolved","DPW Ops Queue","Street and Sidewalk Cleaning","General Cleaning","Other Loose Garbage","2155 POWELL ST, SAN FRANCISCO, CA, 94133","POWELL ST","3","North Beach","CENTRAL","37.80475320298","-122.41183737304","POINT (-122.41183737 37.8047532)","Mobile/Open311","http://mobile311.sfgov.org/reports/11060768/photos"
"11060456","06/28/2019 06:02:00 PM","06/28/2019 09:24:00 PM","06/28/2019 09:24:00 PM","Closed","Case Resolved","DPW Ops Queue","Street and Sidewalk Cleaning","Human or Animal Waste","Human or Animal Waste","74 FRESNO ST, SAN FRANCISCO, CA, 94133","FRESNO ST","3","North Beach","CENTRAL","37.798611","-122.406768","POINT (-122.406768 37.798611)","Web","http://mobile311.sfgov.org/reports/11060456/photos"
"11060419","06/28/2019 05:50:00 PM","06/28/2019 09:24:00 PM","06/28/2019 09:24:00 PM","Closed","Case Resolved","DPW Ops Queue","Street and Sidewalk Cleaning","Human or Animal Waste","Human or Animal Waste","74 FRESNO ST, SAN FRANCISCO, CA, 94133","FRESNO ST","3","North Beach","CENTRAL","37.798611","-122.406768","POINT (-122.406768 37.798611)","Web",
"11060351","06/28/2019 05:29:00 PM","06/28/2019 09:24:00 PM","06/28/2019 09:24:00 PM","Closed","Case Resolved","DPW Ops Queue","Street and Sidewalk Cleaning","Human or Animal Waste","Human or Animal Waste","74 FRESNO ST, SAN FRANCISCO, CA, 94133","FRESNO ST","3","North Beach","CENTRAL","37.798611","-122.406768","POINT (-122.406768 37.798611)","Web","http://mobile311.sfgov.org/reports/11060351/photos"
"11060245","06/28/2019 05:06:32 PM","07/10/2019 09:30:37 PM","07/10/2019 09:30:37 PM","Closed","Case Resolved - Per process - cases are closed 10 days after assignment.","Clear Channel - Transit Queue","Street and Sidewalk Cleaning","Transit_shelter_platform","Transit_shelter_platform","1416 POWELL ST, SAN FRANCISCO, CA, 94133","POWELL ST","3","North Beach","CENTRAL","37.7978495","-122.410183","POINT (-122.410183 37.7978495)","Web","http://mobile311.sfgov.org/reports/11060245/photos"
"11060181","06/28/2019 04:53:00 PM","06/28/2019 09:25:08 PM","06/28/2019 09:25:08 PM","Closed","Case Resolved","DPW Ops Queue","Street and Sidewalk Cleaning","General Cleaning","Other Loose Garbage","800 MONTGOMERY ST, SAN FRANCISCO, CA, 94133","MONTGOMERY ST","3","North Beach","CENTRAL","37.79666110102","-122.40324804518","POINT (-122.40324805 37.7966611)","Mobile/Open311","http://mobile311.sfgov.org/reports/11060181/photos"
"11059905","06/28/2019 03:58:00 PM","06/28/2019 07:18:00 PM","06/28/2019 07:18:00 PM","Closed","Case Resolved","DPW Ops Queue","Street and Sidewalk Cleaning","General Cleaning","Other Loose Garbage","724 LOMBARD ST, SAN FRANCISCO, CA, 94133","LOMBARD ST","3","North Beach","CENTRAL","37.80291203413","-122.41350838926","POINT (-122.41350839 37.80291203)","Mobile/Open311","http://mobile311.sfgov.org/reports/11059905/photos"
"11059657","06/28/2019 03:12:00 PM","06/28/2019 05:30:00 PM","06/28/2019 05:30:00 PM","Closed","Case Resolved","DPW Ops Queue","Street and Sidewalk Cleaning","General Cleaning","Other Loose Garbage","1520 STOCKTON ST, SAN FRANCISCO, CA, 94133","STOCKTON ST","3","North Beach","CENTRAL","37.79983893506","-122.40902960312","POINT (-122.4090296 37.79983894)","Mobile/Open311","http://mobile311.sfgov.org/reports/11059657/photos"
"11059569","06/28/2019 02:55:00 PM","06/29/2019 12:00:00 AM","06/29/2019 12:00:00 AM","Closed","Case is a Duplicate - Request is a duplicate and has been previously reported as 11059569","DPW - Bureau of Street Environmental Services - G","Street and Sidewalk Cleaning","Bulky Items","Furniture","Intersection of FILBERT ST and KRAUSGRILL PL","FILBERT ST","3","North Beach","CENTRAL","37.80144271191","-122.40896076195","POINT (-122.40896076 37.80144271)","Mobile/Open311","http://mobile311.sfgov.org/reports/11059569/photos"
"11059529","06/28/2019 02:48:43 PM","07/02/2019 02:28:00 AM","07/02/2019 02:28:00 AM","Closed","Case Resolved","DPW Ops Queue","Street and Sidewalk Cleaning","General Cleaning","Other Loose Garbage","Intersection of UNION ST and GRANT AVE","UNION ST","3","North Beach","CENTRAL","37.80059666667","-122.40750833333","POINT (-122.40750833 37.80059667)","Mobile/Open311","http://mobile311.sfgov.org/reports/11059529/photos"
"11059301","06/28/2019 02:08:00 PM","06/28/2019 06:21:00 PM","06/28/2019 06:21:00 PM","Closed","Case Resolved","DPW Ops Queue","Street and Sidewalk Cleaning","Human or Animal Waste","Human or Animal Waste","435 BROADWAY, SAN FRANCISCO, CA, 94133","BROADWAY","3","North Beach","CENTRAL","37.797996521","-122.40451049805","POINT (-122.4045105 37.79799652)","Phone",
"11058526","06/28/2019 11:55:47 AM","06/28/2019 02:37:05 PM","06/28/2019 02:37:05 PM","Closed","Case Resolved - Pickup completed.","Recology_Abandoned","Street and Sidewalk Cleaning","Bulky Items","Mattress","17 ROMOLO ST, SAN FRANCISCO, CA, 94133","ROMOLO ST","3","North Beach","CENTRAL","37.79822468622","-122.40634320354","POINT (-122.4063432 37.79822469)","Mobile/Open311","http://mobile311.sfgov.org/reports/11058526/photos"
"11058440","06/28/2019 11:43:53 AM","06/28/2019 04:05:53 PM","06/28/2019 04:05:53 PM","Closed","Case Resolved - Pickup completed.","Recology_Abandoned","Street and Sidewalk Cleaning","Bulky Items","Mattress","504 CHESTNUT ST, SAN FRANCISCO, CA, 94133","CHESTNUT ST","3","North Beach","CENTRAL","37.80405691828","-122.41170125094","POINT (-122.41170125 37.80405692)","Mobile/Open311","http://mobile311.sfgov.org/reports/11058440/photos"
